no, question, answerA, answerB, answerC, answerD

# Easy

0, What sport does Cristiano Ronaldo play?, Soccer, Football, Basketball, Baseball
1, What does Na stand for on the periodic table?, Sodium, Nothing at all, Nandemonaiya, Salt
2, What is the name of the actor who played the role of Jack in the movie Titanic?, Leonardo Da Vinci, Leonardo Donatello, Leonardo DiCaprio, Leonard Descartes
3, Which fictional city is the home of Batman?, Stark City, Gotham city, This City, Burnham City
4, What is next to Mercury?, Earth, Mars, Jupiter, Venus
5, Harry\, Niall\, Louis\, Liam\, and Zayn were in a band. What was it called?, One Direction, Two Direction, No Direction, Plenty of Directions
6, Who is the author of the Harry Potter series?, J.K. Rolling, J.K. Rowling, L.M. Standing, J.K. Growling
7, What is the name of Han Solo's ship?, Decade Eagle, Yearly Foxx, Millennium Falcon, Monthly Stork
8, What is the name of the character that  Johnny Depp plays in Pirates of the Caribbean?, Captain Jack Sorrow, Captain Jack Sparrow, Captain Rosy Sparrow, Captain Jack Swellow
9, Which bird is often associated with delivering babies?, Stork, Dove, Eagle, Falcon

# Moderate

10, In which year was Obama elected President?, 2008, 2007, 2010, 2006
11, What is the Loch Ness Monster's nickname?, Bestie, Nessie, Leslie, Presie
12, What's the name of the company that published the Mario Kart video game?, Nintendo, Sega, Sony, Mario Party
13, Where is the Golden Gate Bridge located?, San Francisco, Nevada, Spain, Laguna
14, When one is "envious"\, they are said to be what color?, Green, Yellow, Blue, Red
15, What is the world's most expensive spice by weight?, Saffron, Cinnamon, Vanilla, Cardamom
16, What is the last letter of the Greek alphabet?, Omega, Psi, Sigma, Xi
17, What is the currency of Poland?, Ruble, Sterling, Cruzado, Zloty
18, How old do you have to be to enter into the drawing of the Hunger Games?, 10 years old, 17 years old, 12 years old, 19 years old
19, What language is the most popularly spoken worldwide?, English, German, Chinese, Spanish

# Hard

20, What city is with the smallest population in the world?, Opatowiec, Poland, Vaduz, Liechtenstein, Funafuti, Tuvalu, Ngerulmund, Palau
21, What is the practice of finding shapes in clouds?, Nephelococcygia, Retronym, Gnoculygia, Lhotseng
22, In flight systems\, what does the initialism "TCAS" stand for?, Traffic Collision Avoidance System?, Traffic Composure Avoidance Systen, Tricyclic Antidepressants, No such initialism exists
23, What is the romanized Arabic word for "moon"?, min, shukran, qamar, madeon
24, What is Shakespeare's shortest play?, Sonnet 18, The Comedy of Errors, Macbeth, Hamlet  
25, What year was Queen Elizabeth II born?, 1935, 1926, 1928, 1932
26, When did the French Revolution begin?, 1789, 1775, 1791, 1799
27, What is the unit of electrical inductance?, Henry, Volts, Coulumb, Ohm
28, Which of the following is not a word used to describe an earthquake?, Temporarily quiescent, Late prodigious, Drop-slide, Great chillean
29, Which scientific unit is named after an Italian nobleman?, Joule, Gal, Volt, Torr